name,rmsd_start,rmsd_end,plddt,ptm,rmsd_constraint,langevin,single_state_plddt,single_state_rmsd,curvature_mean,curvature_max,U,-PLL
5KPE_2_2_6_id1,1.0119401216506958,1.2934731245040894,90.07157407407406,0.77,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-228.1543426513672,2.4259909170645253
5KPE_2_2_6_id10,1.5716956853866577,1.2304291725158691,87.90925925925929,0.77,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-227.6233673095703,2.553155687120226
5KPE_2_2_6_id11,1.5157890319824219,1.2054523229599,89.82601851851851,0.78,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-227.64068603515625,2.629766676161024
5KPE_2_2_6_id12,1.5788747072219849,1.3591115474700928,91.72092592592593,0.81,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-228.3785858154297,2.604946842900029
5KPE_2_2_6_id13,1.4862686395645142,1.4302867650985718,92.80601851851851,0.82,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-226.7902374267578,2.510648939344618
5KPE_2_2_6_id14,1.831631064414978,1.0653302669525146,94.43805555555556,0.85,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-228.4014892578125,2.574835035536024
5KPE_2_2_6_id15,1.2809302806854248,1.2909942865371704,89.66675925925927,0.78,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-230.5372467041016,2.4814622667100696
5KPE_2_2_6_id16,1.853790283203125,0.8153860569000244,92.66157407407408,0.81,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-229.12841796875,2.67961346661603
5KPE_2_2_6_id17,1.1819368600845337,1.1926367282867432,91.49472222222222,0.79,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-226.740966796875,2.605573300962095
5KPE_2_2_6_id18,1.713239073753357,1.0899534225463867,93.30240740740744,0.83,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-225.58218383789065,2.519792909975405
5KPE_2_2_6_id19,1.6615729331970215,1.0827748775482178,91.61416666666666,0.79,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-229.5687713623047,2.388284188729745
5KPE_2_2_6_id2,1.450379490852356,1.4396629333496094,90.46166666666666,0.79,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-227.6207733154297,2.428432888454861
5KPE_2_2_6_id20,1.4733134508132935,1.3892838954925537,89.23833333333333,0.76,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-223.2235870361328,2.270144709834346
5KPE_2_2_6_id21,1.6409050226211548,1.0221065282821655,93.5528703703704,0.83,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-230.8225250244141,2.48495031286169
5KPE_2_2_6_id22,1.8992372751235962,0.9900558590888977,94.04648148148148,0.83,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-230.15077209472656,2.5894408049406827
5KPE_2_2_6_id23,1.1682655811309814,1.4233349561691284,88.26638888888887,0.72,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-228.02532958984372,2.308359499330874
5KPE_2_2_6_id3,1.4342200756072998,1.2358384132385254,89.8750925925926,0.76,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-222.24371337890625,2.3671021638093173
5KPE_2_2_6_id4,1.535801649093628,1.177070140838623,91.74305555555554,0.79,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-227.0357666015625,2.464167559588397
5KPE_2_2_6_id5,1.6484206914901733,1.0952749252319336,91.88166666666667,0.81,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-227.87208557128903,2.4246814869068287
5KPE_2_2_6_id6,1.5975987911224365,1.3479716777801514,92.51009259259256,0.82,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-229.3706817626953,2.374776769567419
5KPE_2_2_6_id7,1.776329517364502,0.9202214479446411,92.79351851851852,0.81,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-229.45733642578125,2.5216736970124423
5KPE_2_2_6_id8,1.4913403987884521,1.1529321670532227,88.24462962962961,0.74,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-224.0152130126953,2.490187468352141
5KPE_2_2_6_id9,1.0930166244506836,1.5842875242233276,93.59953703703704,0.83,2,2,94.9039814814815,0.5478578805923462,20.985851,70.200714,-227.83416748046875,2.5227714821144387
5KPE_2_2_7_id0,1.8560261726379395,1.1301478147506714,92.57259259259256,0.81,2,2,89.6999074074074,0.6385607123374939,21.243507,71.84392,-224.397705078125,2.53856122052228
5KPE_2_2_7_id1,1.600897192955017,1.0276353359222412,90.61722222222222,0.79,2,2,89.6999074074074,0.6385607123374939,21.243507,71.84392,-226.2569580078125,2.4780115198206016
5KPE_2_2_7_id10,1.8210142850875854,0.9463136792182922,93.15601851851852,0.83,2,2,89.6999074074074,0.6385607123374939,21.243507,71.84392,-225.4742431640625,2.557535524721499
