name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPH_8_8_0_0_combined_id2,43,3,87.02375,0.65,3.478933334350586,4.898314476013184
5KPE_4_8_2_0_combined_id2,43,2,70.6462962962963,0.57,10.052051544189453,11.221992492675781
5KPH_6_4_0_0_combined_id12,43,5,90.52125,0.71,0.7044242024421692,5.739245414733887
5KPH_2_8_4_0_combined_id18,43,1,91.80972222222222,0.75,1.0119612216949463,1.16063392162323
5KPE_2_6_7_0_combined_id14,44,1,89.01805555555556,0.74,1.3615494966506958,1.3929071426391602
5KPE_2_2_0_0_combined_id21,44,1,86.10629629629629,0.68,1.3477671146392822,1.0347263813018799
5KPE_6_6_8_0_combined_id21,43,3,79.97157407407406,0.65,4.835986137390137,4.223465442657471
5KPE_4_6_7_0_combined_id17,44,1,81.6515740740741,0.68,1.575242042541504,3.1734840869903564
5KPE_2_4_5_0_combined_id20,42,2,92.82148148148148,0.81,1.214408278465271,1.4284298419952393
5KPE_2_4_7_0_combined_id23,42,2,78.9875925925926,0.6,2.975106954574585,3.226369857788086
5KPE_4_6_6_0_combined_id6,44,2,81.5088888888889,0.63,1.4289684295654297,3.008411169052124
5KPH_2_2_3_0_combined_id2,43,3,89.84277777777778,0.69,1.0057783126831055,1.3510721921920776
5KPE_6_4_7_0_combined_id9,43,1,67.12314814814816,0.51,10.055005073547363,10.671845436096191
5KPH_6_2_9_0_combined_id1,44,5,93.37208333333336,0.77,0.7283379435539246,5.802236557006836
5KPE_4_2_7_0_combined_id11,43,4,75.74037037037037,0.58,11.705699920654297,11.392443656921387
5KPH_2_6_9_0_combined_id21,44,1,90.26708333333332,0.72,0.6098753213882446,1.9818333387374878
5KPH_2_8_9_0_combined_id22,44,5,95.96152777777776,0.82,0.6571700572967529,2.1448163986206055
5KPE_6_8_5_0_combined_id16,43,1,65.855,0.51,10.426336288452148,10.17543888092041
5KPH_4_2_4_0_combined_id10,42,1,90.45444444444446,0.71,0.9623228311538696,3.547125816345215
5KPH_2_6_9_0_combined_id7,44,5,86.49902777777778,0.66,0.6851640939712524,2.188506603240967
5KPH_2_8_7_0_combined_id7,43,5,91.86791666666666,0.75,0.6074716448783875,2.0120913982391357
5KPE_2_8_5_0_combined_id10,43,5,69.81583333333333,0.5,9.506061553955078,9.83126449584961
5KPE_4_2_2_0_combined_id15,43,3,75.4062962962963,0.62,9.5692777633667,10.59268569946289
5KPE_2_4_8_0_combined_id1,43,2,92.7412037037037,0.83,1.2853091955184937,1.2563070058822632
